ate,rate,duration,front_cloud_match_num,back_cloud_match_num,front_kf_num,back_kf_num,lost_timestamp,new_map_timestamp,lost_time,sum_bag_size,sum_nosampling_bag_size,ref_traj_duration,est_traj_duration,speed,nosampling_speed,subdir
0.0642192,0.878097,60.8236,54.0,223.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_02_42
0.0970411,0.88264,66.9125,993.0,574.0,20.0,20.0,22.1,26.7,1.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_26_08
0.156779,0.884957,75.1738,93.0,267.0,10.0,10.0,22.1,26.3,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_55_56
0.0781825,0.643777,47.0078,0.0,0.0,20.0,20.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_46_26
0.407784,0.889526,66.6724,339.0,740.0,20.0,20.0,22.1,26.0,1.0,0.0,0.0,155.7,26.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_23_26
0.192705,0.880435,56.1505,29.0,130.0,5.0,5.0,14.9,18.2,1.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_33_23
0.0459335,0.640372,68.5207,257.0,1224.0,20.0,20.0,13.6,16.7,1.0,0.0,0.0,155.7,18.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_45_05
0.0735153,0.640372,69.1757,323.0,1264.0,20.0,20.0,13.3,16.5,1.0,0.0,0.0,155.7,18.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_47_20
0.0461172,0.640372,69.4066,362.0,1320.0,20.0,20.0,13.4,16.6,1.0,0.0,0.0,155.7,18.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_03_07
0.192213,0.887289,88.6388,115.0,1270.0,20.0,20.0,22.0,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_05_43
0.0865799,0.878097,46.954,0.0,0.0,10.0,10.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,25.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_30_32
0.0812215,0.887289,88.9894,386.0,1182.0,20.0,20.0,22.0,26.0,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_18_20
1.0036,0.88264,93.6699,106.0,829.0,20.0,20.0,22.1,26.2,2.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_32_57
0.0938526,0.887289,61.4528,102.0,269.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_49_31
0.466845,0.639248,47.0211,0.0,0.0,20.0,20.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,18.8,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_23_55
0.220416,0.887289,46.9598,0.0,0.0,10.0,10.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_14_16
0.27878,0.884957,79.5706,87.0,232.0,10.0,10.0,22.1,27.2,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_06_19
0.0722275,0.643777,67.4236,71.0,1312.0,20.0,20.0,14.6,17.7,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_17_00
0.321432,0.643777,47.0221,0.0,0.0,20.0,20.0,-1311878241.2,-1311878241.2,0.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_30_20
0.384624,0.884957,57.1442,17.0,124.0,5.0,5.0,13.5,16.7,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_46_31
0.178041,0.884957,57.2512,233.0,73.0,5.0,5.0,22.1,26.3,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_57_29
0.0622126,0.884957,75.8695,151.0,393.0,10.0,10.0,22.1,26.1,2.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_58_46
0.138042,0.643777,68.455,138.0,1417.0,20.0,20.0,14.8,17.9,1.0,0.0,0.0,155.7,18.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-17_15_44
0.0640812,0.88264,91.4548,428.0,1058.0,20.0,20.0,22.1,26.0,2.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-18_28_36
0.826773,0.884957,57.4705,5.0,67.0,5.0,5.0,13.5,16.7,1.0,0.0,0.0,155.7,26.0,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-20_35_44
0.0792748,0.88264,61.9746,82.0,283.0,10.0,10.0,13.4,16.6,1.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_29_18
0.0701431,0.88264,85.3498,481.0,241.0,10.0,10.0,22.1,26.4,2.0,0.0,0.0,155.7,25.9,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results_2/Full#rgbd_dataset_freiburg2_pioneer_slam#04-19-19_11_17
