ate,rate,duration,front_cloud_match_num,back_cloud_match_num,front_kf_num,back_kf_num,lost_timestamp,new_map_timestamp,lost_time,sum_bag_size,sum_nosampling_bag_size,ref_traj_duration,est_traj_duration,speed,nosampling_speed,subdir
0.0163722,0.926043,45.4508,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-16_11_09
0.0178435,0.931562,75.5426,930.0,808.0,10.0,10.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_08_02
0.0160178,0.926043,45.2941,0.0,0.0,5.0,5.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_38_47
0.0468778,0.931562,68.0298,122.0,107.0,2.0,2.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_17_53
0.0227325,0.931562,66.7289,163.0,79.0,2.0,2.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_57_43
0.0170507,0.928885,44.8397,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.2,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-15_44_01
0.0162146,0.926043,45.4957,0.0,0.0,20.0,20.0,-1305033541.1,-1305033541.1,0.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-16_17_06
0.0150048,0.933067,69.8472,342.0,347.0,5.0,5.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_36_08
0.0185231,0.924701,65.9123,362.0,273.0,5.0,5.0,9.6,14.8,1.0,0.0,0.0,49.9,22.1,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-10_50_33
0.0181609,0.931562,68.7282,135.0,117.0,2.0,2.0,9.6,17.5,1.0,0.0,0.0,49.9,22.3,0.0,0.0,/home/red0orange/projects/Cloud-Edge-SLAM/new_results/Full#rgbd_dataset_freiburg1_floor#04-19-14_21_20
